kategori_bahan,rentang_harga,warna_wrapper,warna_isi,gender_penerima,nama_gambar
artificial,50k - 70k,Putih,Pink,Perempuan,artificial_01
artificial,50k - 70k,Hitam,Putih,Laki-laki,artificial_02
artificial,35k - 45k,Biru,Mix,Laki-laki,artificial_03
artificial,80k - 100k,Biru,Mix,Laki-laki,artificial_04
artificial,80k - 100k,Pink,Mix,Perempuan,artificial_05
artificial,80k - 100k,Hitam,Merah,Netral,artificial_06
artificial,50k - 70k,Biru,Biru,Netral,artificial_07
artificial,50k - 70k,Lilac,Ungu,Perempuan,artificial_08
artificial,80k - 100k,Hitam,Mix,Laki-laki,artificial_09
artificial,50k - 70k,Pink,Pink,Perempuan,artificial_10
artificial,100k - 150k,Hitam,Kuning,Netral,artificial_11
pipecleaner,<30k,Lilac,Ungu,Perempuan,pipecleaner_01
pipecleaner,50k - 70k,Putih,Biru,Netral,pipecleaner_02
pipecleaner,50k - 70k,Earth Tone,Kuning,Netral,pipecleaner_03
pipecleaner,35k - 45k,Earth Tone,Kuning,Netral,pipecleaner_04
pipecleaner,80k - 100k,Putih,Pink,Perempuan,pipecleaner_05
pipecleaner,<30k,Transparan,Pink,Perempuan,pipecleaner_06
pipecleaner,<30k,Transparan,Ungu,Perempuan,pipecleaner_07
pipecleaner,50k - 70k,Putih,Pink,Perempuan,pipecleaner_08
pipecleaner,80k - 100k,Putih,Merah,Perempuan,pipecleaner_09
pipecleaner,80k - 100k,Putih,Merah,Netral,pipecleaner_10
snack,35k - 45k,Biru,Biru,Netral,snack_01
snack,80k - 100k,Hitam,Kuning,Laki-laki,snack_02
snack,50k - 70k,Putih,Biru,Netral,snack_03
snack,50k - 70k,Pink,Biru,Perempuan,snack_04
snack,80k - 100k,Hitam,Merah,Laki-laki,snack_05
snack,80k - 100k,Pink,Pink,Perempuan,snack_06
snack,80k - 100k,Earth Tone,Coklat,Netral,snack_07
snack,50k - 70k,Lilac,Ungu,Perempuan,snack_08
snack,80k - 100k,Putih,Biru,Netral,snack_09
snack,80k - 100k,Pink,Pink,Perempuan,snack_10
pipecleaner,80k - 100k,Pink,Pink,Perempuan,pipecleaner_11
pipecleaner,50k - 70k,Pink,Mix,Perempuan,roundbuket1
